,POPESTIMATE,Amount Overpaid,Total Unemployment Paid,Improper_Payment_Rate,Fraud Rate,Unemploy_Year,State,Code,FFTOT_CAPI,OTHCP_FF,TOTAL_CAPI,GFTOT_CAPI,OFTOT_CAPI,FFTOT_CAP,TOTAL REV,party
2,7278717,20297641.0,185577580.0,0.10943,,2020,Arizona,AZ,15727.0,0.0,38691.0,10725.0,11487.0,858.0,11232.0,
3,3017804,5679941.0,98782656.0,0.06333,,2020,Arkansas,AR,7814.251277999999,0.0,25771.273043,5552.813575,12349.79219,258.568,7143.799999999999,
4,39512223,471357995.0,4958621194.0,0.09936,,2020,California,CA,97202.152,51.3130000000001,300445.115,140386.987,57152.073,2153.313,144485.0,Democrat
5,5758736,27526137.0,357081130.0,0.08349,,2020,Colorado,CO,8690.0,10.0,30019.0,11611.0,9074.0,10.0,12583.8,Democrat
6,3565287,63380917.0,584913664.0,0.1106,,2020,Connecticut,CT,6221.588761999999,0.0,34410.229336,19248.65054,6112.990034,482.0,19649.862151,Democrat
7,973764,4159641.0,64444521.0,0.06695,,2020,Delaware,DE,2402.5,0.0,11324.9,4394.4,4231.0,292.0,4592.0,
8,21477737,24292894.0,300787620.0,0.08173,,2020,Florida,FL,28522.0,0.0,82575.0,32958.0,19445.0,2725.0,33414.0,Republican
9,10617423,11474049.0,316442592.0,0.03626,,2020,Georgia,GA,15108.942751479999,0.0,56932.322786310004,27951.12698618,12688.193048650002,0.0,25571.06470153,Republican
10,1415872,5984426.0,132249670.0,0.04801,,2020,Hawaii,HI,2528.0,39.0,15619.0,7915.0,4155.0,303.0,7917.0,
11,1787065,4899262.0,85118655.0,0.06039,,2020,Idaho,ID,4433.0,84.0,10879.0,4285.0,2161.0,377.0,3735.0,Republican
12,12671821,167576600.0,1653969482.0,0.11315,,2020,Illinois,IL,15983.362988940002,0.0,71841.95173106,36362.0,18920.06462521,90.0,39195.0,Republican
13,6732219,18683402.0,230430742.0,0.08108,,2020,Indiana,IN,13547.0,0.0,34049.0,16208.0,4294.0,0.0,16749.0,
14,3155070,25688162.0,387089128.0,0.06835,,2020,Iowa,IA,6526.0,0.0,23441.0,7568.0,9340.0,470.0,7859.0,
15,2913314,16136343.0,127086697.0,0.12902,,2020,Kansas,KS,4087.4,50.0,16926.8,6988.6,5432.8,488.8,7368.4,Republican
16,4467673,19651188.0,270073871.0,0.07436,,2020,Kentucky,KY,12420.5,0.0,33553.96,11556.7,9576.76,0.0,11392.880000000001,Republican
17,4648794,11739699.0,122591987.0,0.09842,,2020,Louisiana,LA,12657.764961,0.0,29413.599365000002,9796.770789,6749.063614999999,672.0,10040.904249739604,
18,1344212,3086239.0,83935314.0,0.04057,,2020,Maine,ME,2797.0,10.0,8814.0,3659.0,2210.0,134.0,3848.6,Republican
19,6045680,30866387.0,403860783.0,0.0769,,2020,Maryland,MD,13423.0,5.0,45123.0,17869.0,12498.0,922.0,18199.0,
20,6892503,91106257.0,1289932863.0,0.07779,,2020,Massachusetts,MA,14849.0,0.0,59821.0,28639.0,13636.0,621.6,34610.62298972999,
21,9986857,217016334.0,713165184.0,0.30583,,2020,Michigan,MI,21789.0,7.0,59640.0,10345.0,27212.0,1229.0,10660.0,Republican
22,5639632,66104217.0,743169855.0,0.09,,2020,Minnesota,MN,11196.141,0.0,40844.590547,23054.173000000003,5984.185000000005,0.0,23478.402,Democrat
23,2976149,4622676.0,61009244.0,0.07705,,2020,Mississippi,MS,7840.799999999999,7.1,19160.8,5536.0,4873.16,425.20000000000005,5967.549999999999,Republican
24,6137428,11153733.0,221161942.0,0.05043,,2020,Missouri,MO,8491.0,18.0,26403.0,9536.0,8287.0,18.0,9469.0,
25,1068778,7152781.0,103651566.0,0.07181,,2020,Montana,MT,2983.475929109999,0.0,7173.62091549,2303.98008127,1886.16490511,0.0,2573.62,
26,1934408,5017154.0,59695890.0,0.08583,,2020,Nebraska,NE,2791.0,14.0,12109.0,4367.0,4951.0,359.0,4896.0,
27,3080156,13828447.0,200840020.0,0.0715,,2020,Nevada,NV,5214.8491244,8.937,16073.38908351,4452.446861,6229.09309811,8.937,4287.504178,Republican
28,1359711,1863900.0,39383681.0,0.05182,,2020,New Hampshire,NH,2313.0,0.0,6224.0,1504.0,2309.0,10.0,1622.0,
29,8882190,129816616.0,1805643845.0,0.08715,,2020,New Jersey,NJ,16110.0,39.0,64167.0,37191.0,8648.0,2347.0,38349.0,
30,2096829,8433284.0,131981953.0,0.0661,,2020,New Mexico,NM,7797.0,13.0,19524.2,6034.0,5327.2,458.0,8010.0,Republican
31,19453561,219247966.0,2231981302.0,0.10344,,2020,New York,NY,60416.0,85.0,170875.0,72783.0,31138.0,1944.0,70544.0,
32,10488084,31521299.0,210970115.0,0.15333,,2020,North Carolina,NC,21469.0,0.0,58227.0,23953.0,12406.0,1418.0,24826.0,
33,762062,7580900.0,66846037.0,0.1148,,2020,North Dakota,ND,1697.0,5.0,6393.0,2175.0,2499.0,278.0,2564.0,
34,11689100,57788883.0,792189417.0,0.076,,2020,Ohio,OH,25295.0,9.0,71003.0,22834.0,21887.0,1221.0,24004.0,Republican
35,3956971,12262393.0,261808061.0,0.04771,,2020,Oklahoma,OK,8153.0,10.0,23833.0,6180.0,9203.0,433.0,6860.0,Republican
36,4217737,48143849.0,488937117.0,0.10705,,2020,Oregon,OR,10835.191999999997,2.700471,42641.533319999995,9613.18,21868.896999999997,5.139471,11541.5,
37,12801989,157793552.0,1801427330.0,0.08947,,2020,Pennsylvania,PA,30489.0,0.0,89625.0,36319.0,22190.0,0.0,34858.0,
39,1059361,19811981.0,134935628.0,0.14931,,2020,Rhode Island,RI,3119.0,28.868451000000018,9736.79376441,3924.0,2335.0,244.99242,4025.0,
40,5148714,15574051.0,148583456.0,0.10586,,2020,South Carolina,SC,8441.0,6.0,26074.0,8294.0,9192.0,14.0,9403.0,
